Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Auth] Get User Info,107,0,5,6.779203242807275,2.3386660031974316,39.405541989253834,221.21495327102804,1.5471622408216714,0.0,5,6,7,8,12,16,28,38,39,39,39
GET,[Stats] Get User Stats,173,0,7,8.842437376834807,4.041415988467634,32.46766701340675,66.91329479768787,2.5014866136649454,0.0,7,8,9,10,15,25,28,32,32,32,32
POST,[Tasks] Create,333,0,7,8.831039303039724,3.4421250165905803,42.66937499050982,357.16516516516515,4.815000244800155,0.0,7,9,10,10,13,18,26,35,43,43,43
DELETE,[Tasks] Delete,48,0,6,7.849543396635757,3.4261250111740083,26.497332990402356,0.0,0.6940540893405629,0.0,6,8,10,11,12,17,26,26,26,26,26
GET,[Tasks] Get Single,249,0,6,7.105384364581095,2.3102909908629954,35.613291984191164,359.578313253012,3.6004055884541697,0.0,6,7,8,9,11,16,26,31,36,36,36
GET,[Tasks] List All,1274,0,8,9.738533987784853,4.083249979885295,42.71604199311696,6753.376766091052,18.421352287914107,0.0,8,9,10,11,15,22,33,38,42,43,43
GET,[Tasks] List Filtered,391,0,8,9.339595400958139,3.68866600911133,41.57008300535381,2251.166240409207,5.653648936086668,0.0,8,9,10,11,15,19,30,35,42,42,42
PATCH,[Tasks] Mark Complete,45,0,8,10.050151777815902,4.0166249964386225,42.83891699742526,343.64444444444445,0.6506757087567777,0.0,8,10,12,12,14,21,43,43,43,43,43
PATCH,[Tasks] Mark Incomplete,36,0,7,7.963163166196965,3.8444160018116236,20.896041009109467,364.47222222222223,0.5205405670054222,0.0,7,8,9,9,13,20,21,21,21,21,21
PUT,[Tasks] Update,137,0,8,10.491946503735848,4.118915996514261,41.07233299873769,354.18978102189783,1.9809460466595232,0.0,8,9,11,11,17,32,40,40,41,41,41
,Aggregated,2793,0,7,9.157491145045968,2.3102909908629954,42.83891699742526,3510.5026852846404,40.385272323504,0.0,7,9,10,11,14,20,32,36,43,43,43
